UGC 2885...	300	30.8	5.0	22.0	13.0	[0.47]	2.6	0.8	1.5
NGC 2841...	287	32.3	1.7	21.1	4.6	0.74	7.9	2.2	3.8
NGC 5533...	250	19.0	3.0	23.0	11.4	0.77	27.0	2.5	3.4
NGC 6674...	242	18.0	3.9	22.5	8.3	0.57	18.0	1.1	2.6
NGC 3992...	242	15.3	0.92	20.4	4.1	0.72	5.8	2.1	4.9
NGC 7331...	232	13.3	1.1	21.5	4.5	0.63	5.8	1.4	2.5
NGC 3953...	223	7.9	0.27	20.6	3.9	0.71	2.7	2.0	2.7
NGC 5907...	214	9.7	1.1	20.7	4.0	0.78	4.7	2.6	3.9
NGC 2998...	213	8.3	3.0	20.3	5.4	0.45	2.8	0.7	1.2
NGC 801...	208	10.0	2.9	21.9	12.0	0.61	8.4	1.3	1.4
NGC 5371...	208	11.5	1.0	21.4	7.9	0.65	3.4	1.6	1.6
NGC 5033...	195	8.8	0.93	23.0	5.8	0.55	4.6	1.0	4.6
NGC 3893...	188	4.20	0.56	20.3	2.3	[0.56]	2.6	1.1	2.0
NGC 4157...	185	4.83	0.79	21.3	5.0	0.66	3.1	1.6	2.4
NGC 2903...	185	5.5	0.31	20.5	2.0	0.55	3.6	1.0	3.6
NGC 4217...	178	4.25	0.25	21.4	4.2	0.77	2.4	2.5	2.2
NGC 4013...	177	4.55	0.29	21.1	3.5	0.83	4.0	3.2	3.1
NGC 3521...	175	6.5	0.63	20.5	2.4	0.68	3.8	1.8	2.7
NGC 4088...	173	3.30	0.79	20.9	3.1	0.51	1.7	0.9	1.1
NGC 3877...	167	3.35	0.14	20.1	3.0	0.68	2.4	1.8	1.7
NGC 4100...	164	4.32	0.30	20.1	2.8	0.63	2.9	1.4	2.4
NGC 3949...	164	1.39	0.33	19.6	1.7	0.39	1.0	0.6	0.8
NGC 3726...	162	2.62	0.62	21.6	5.5	0.45	1.8	0.7	1.0
NGC 6946...	160	2.7	2.7	21.7	5.6	0.40	1.1	0.6	0.5
NGC 4051...	159	3.03	0.26	21.2	4.2	0.62	1.9	1.4	1.2
NGC 3198...	156	2.3	0.63	21.6	2.6	0.43	3.1	0.6	2.6
NGC 2683...	155	3.5	0.05	21.1	1.2	0.65	7.0	1.6	5.8
NGC 3917...	135	1.4	0.18	22.1	2.9	0.60	2.4	1.3	1.3
NGC 4085...	134	1.0	0.13	20.0	1.6	0.47	1.4	0.8	1.2
NGC 3917...	135	1.4	0.18	22.1	2.9	0.60	2.4	1.3	1.3
UGC 128...	131	0.57	0.91	24.2	9.2	0.60	5.0	1.3	1.1
NGC 4010...	128	0.86	0.27	22.5	2.9	[0.54]	2.1	1.0	1.4
NGC 3769...	122	0.80	0.53	21.1	1.7	[0.64]	1.4	1.5	1.2
NGC 6503...	121	0.83	0.24	21.9	1.7	0.57	1.7	1.1	1.7
NGC 4183...	112	0.59	0.34	22.8	3.4	0.39	1.8	0.6	0.7
NGC 1003...	110	0.30	0.82	21.6	1.9	0.55	0.5	1.0	0.2
UGC 6917...	110	0.54	0.20	22.9	3.4	[0.53]	3.5	1.0	1.4
UGC 6930...	110	0.42	0.31	22.3	3.0	[0.59]	2.1	1.2	0.8
M33 ...		107	0.48	0.13	21.1	1.7	0.55	1.2	1.0	0.6
NGC 247...	107	0.40	0.13	23.4	2.9	0.54	3.0	1.0	1.1
NGC 7793...	100	0.41	0.10	20.3	1.1	0.63	1.9	1.4	1.2
NGC 300...	90	0.22	0.13	22.2	2.1	0.58	1.4	1.2	0.7
NGC 55...	86	0.10	0.13	21.5	1.6	0.54	1.0	1.0	0.2
UGC 6667...	86	0.25	0.08	23.8	2.8	[0.65]	2.5	1.5	1.0
UGC 2259...	86	0.22	0.05	22.3	1.3	...	3.9	...	2.1
UGC 6446...	82	0.12	0.30	23.1	3.1	[0.39]	2.2	0.5	0.5
NGC 1560...	72	0.034	0.098	23.2	1.3	0.57	4.1	1.1	1.0
DDO 170...	64	0.024	0.061	24.1	1.3	...	15.0	...	1.5
DDO 154...	56	0.004	0.045	23.2	0.5	0.32	2.0	0.4	0.1
