# Vcirc	Vcirc2	Vcirc1	sig	dsig	M_B
68.2	79.0	55.6	30	5	-15.79	30	5	-17.09	0.8221E+09	1049794778.911860	205	-dm1
48.6	54.3	42.1	25	5	-14.67	25	5	-15.97	0.2888E+09	279662468.5166754	185	-mlc
41.1	56.5	25.1	27	5	-14.44	27	5	-15.74	0.1599E+09	277454521.1186626	147	-mlc
83.2	107.5	68.0	44	3	-15.48	61.4	5.0	-16.64	0.2709E+9	2d9			fcc046	-mlc
71	81	61	38	3	-16.75	43.5	3.0	-18.29	1.0		3752041842.579328	dw3	-mlc
91.0	105.0	64.3	50	5	-16.31	44.2	3.4	-17.43	0.2386E+10	2779977983.177408	dw2	-mlc
101.5	112.6	64.8	44	5	-15.77	63.8	3.9	-16.84	0.2E+09		2337624754.958066	fcc150	-dm5
84.9	113.2	73.5	35	5	-15.2	60.9	6.6	-16.65	0.8722E+09	1917447352.194018	fcc207	-dm1
85	100	70	36	5	-15.62	42.4	3.4	-16.43	1.0		2.2E+09			fcc266	-dm1
65	80	50	30	6	-15.47	39.5	4.2	-16.53	1.0		1.901608E+09		fcc245	-mlc
105	112.2	79.3	43 	5	-15.892	48.5	3.3	-17.10	0.25E+10	3944735617.521241	fcc288	-mlc
117.7	142.0	103.9	53	4	-17.50	73.1	3.1	-18.71 	0.4088E+10	0.6d10			fs373	-dm2
112	126	105	38	3	-17.31	59.6	3.6	-18.66	0.4819E+09	3707138615.187723	fs029	-dm3
166.5	186	136	67.2	4.4	-16.75	0.0	0.0	0.0	0.0		9465402650.987989	fcc204	-dm5_3i
# log10(L_B) = -0.4*(M_B-5.48)
