# dm  dme  dct  dcte dd   dd  dd   dre  ebv      d d  d          d  d  d 
# Data from Smith Castelli 2008, see De Rijcke et al. (2009)
# M_V = dm - 2.62*ebv + 0.183*dct + 0.208 - 32.73 (see plot_LV_Re.f)
# V-I = 0.465*(dct-1.97*ebv) + 0.338
# Re  = 35100*tan(dre/3600 * pi/180)
18.88 0.02 1.60 0.04 25.7 7.5 23.3 3.1	0.081	10 28 05.0	35 28 55	
17.76 0.02 1.64 0.04 25.7 12.3 23.4 5.4	0.078	10 28 06.9	35 35 20
16.97 0.01 1.70 0.02 25.7 10.5 22.2 4.4	0.073	10 28 09.8	35 43 04
18.04 0.01 1.44 0.02 25.8 5.4 22.2 2.7	0.079	10 28 12.9	35 35 38	
14.78 0.01 1.80 0.02 28.9 33.4 21.2 7.8	0.081	10 28 15.1	35 32 02
19.36 0.06 2.01 0.06 27.4 10.8 24.5 4.3	0.076	10 28 15.8	35 46 26
13.80 0.01 2.08 0.02 28.3 46.5 19.4 5.2	0.075	10 28 18.9	35 45 28
18.12 0.04 1.60 0.07 25.6 14.6 23.9 5.6	0.081	10 28 24.0	35 34 22
15.75 0.01 1.87 0.02 25.7 16.4 22.2 7.9	0.091	10 28 25.2	35 14 34
19.95 0.04 1.57 0.06 25.8 5.9 24.3 2.9	0.084	10 28 34.0	35 31 22
14.73 0.02 2.03 0.03 28.3 39.6 21.2 7.8	0.092	10 28 53.2	35 19 12
18.99 0.03 1.64 0.05 28.0 7.6 23.1 2.6	0.087	10 28 53.0	35 32 52
10.89 0.01 2.18 0.02 28.1 188.5 20.1 28.5 0.084	10 28 54.0	35 36 21
19.81 0.06 1.45 0.08 25.8 7.4 24.4 3.4	0.088	10 28 56.1	35 27 39		
19.04 0.04 1.64 0.06 25.8 8.8 24.1 4.1	0.088	10 28 57.1	35 33 39
18.67 0.06 1.71 0.10 25.8 13.4 25.1 7.7	0.097	10 28 58.3	35 09 36
16.33 0.01 1.71 0.02 25.8 12.5 21.9 5.1	0.080	10 29 03.1	35 40 30
14.63 0.01 1.87 0.02 25.8 16.5 20.6 6.4	0.083	10 29 12.0	35 39 28
16.12 0.01 1.86 0.02 25.8 14.5 21.9 5.9	0.090	10 29 15.3	35 25 58
16.90 0.02 1.88 0.03 25.8 14.0 23.2 7.3	0.090	10 29 18.2	35 35 06
15.70 0.01 1.85 0.02 25.8 14.0 21.5 5.7	0.090	10 29 20.1	35 35 09
19.13 0.04 1.56 0.05 25.8 8.2 24.1 4.0	0.100	10 29 22.5	35 09 21
16.12 0.01 1.80 0.02 25.8 10.5 21.4 4.5	0.100	10 29 41.5	35 17 31
18.46 0.05 1.73 0.09 25.8 13.7 24.8 7.3	0.085	10 29 41.0	35 45 36
17.06 0.02 1.75 0.03 25.8 13.8 22.9 5.9	0.091	10 29 43.4	35 29 49
15.28 0.02 2.35 0.04 28.9 30.8 20.4 4.3	0.097	10 29 47.5	35 24 10
13.93 0.01 2.04 0.02 27.6 33.1 19.7 5.8	0.105	10 29 51.6	35 10 04
17.24 0.01 1.71 0.02 25.8 10.6 22.4 4.3	0.102	10 29 54.4	35 17 16
15.52 0.01 1.83 0.02 25.8 12.1 21.1 5.2	0.101	10 29 54.4	35 19 19
10.76 0.01 2.23 0.02 27.1 192.3 20.7 39.5 0.103	10 29 58.5	35 19 30
18.67 0.02 1.66 0.03 25.8 7.4 23.6 3.9	0.102	10 29 59.5	35 18 10
18.03 0.02 1.78 0.03 25.8 8.4 23.2 4.4	0.101	10 30 02.4	35 24 28
19.33 0.04 1.37 0.05 25.8 7.5 23.8 3.2	0.093	10 30 04.3	35 32 52
19.25 0.04 1.62 0.06 27.5 9.3 23.6 3.6	0.104	10 30 06.4	35 18 25
16.51 0.01 1.83 0.02 25.6 12.7 22.4 5.9	0.104	10 30 06.4	35 23 31
18.68 0.03 1.74 0.05 25.8 9.7 23.7 4.1	0.103	10 30 13.6	35 15 54
17.71 0.01 2.02 0.02 25.8 6.5 22.3 3.3	0.105	10 30 18.4	35 24 43
15.71 0.01 1.88 0.02 25.8 10.6 20.8 4.1	0.094	10 30 18.4	35 31 26
18.09 0.02 1.72 0.03 25.8 7.8 22.8 3.4	0.096	10 30 19.4	35 34 48
19.16 0.03 1.66 0.05 25.8 7.3 23.7 3.3	0.102	10 30 21.6	35 12 14
18.71 0.03 1.60 0.04 25.8 8.2 23.5 3.7	0.095	10 30 22.5	35 30 32
16.15 0.01 1.76 0.02 25.8 7.8 20.3 2.7	0.102	10 30 22.5	35 10 26
19.22 0.04 1.27 0.05 25.8 8.2 24.1 3.8	0.109	10 30 25.4	35 23 38
17.16 0.01 1.78 0.02 25.8 8.6 22.0 3.8	0.108	10 30 31.4	35 23 06
17.29 0.02 1.78 0.03 25.8 12.6 22.8 5.1	0.101	10 30 31.6	35 14 38
14.98 0.01 2.06 0.02 25.8 11.3 20.4 4.8	0.108	10 30 34.5	35 23 13
18.25 0.02 1.69 0.03 25.8 8.3 23.1 3.6	0.102	10 30 44.6	35 19 12
18.99 0.03 1.52 0.04 25.8 7.2 23.7 3.4	0.101	10 30 47.5	35 28 55
16.77 0.02 1.84 0.03 25.8 15.4 23.1 7.4	0.098	10 30 48.4	35 32 20
